"DateTime";"Players"
"2023-10-03 14:00:00";32757
"2023-10-03 14:10:00";34874
"2023-10-03 14:20:00";35856
"2023-10-03 14:30:00";36000
"2023-10-03 14:40:00";36752
"2023-10-03 14:50:00";36818
"2023-10-03 15:00:00";36478
"2023-10-03 15:10:00";36367
"2023-10-03 15:20:00";36720
"2023-10-03 15:30:00";36672
"2023-10-03 15:40:00";37548
"2023-10-03 15:50:00";37872
"2023-10-03 16:00:00";38134
"2023-10-03 16:10:00";38575
"2023-10-03 16:20:00";38167
"2023-10-03 16:30:00";39021
"2023-10-03 16:40:00";39653
"2023-10-03 16:50:00";39659
"2023-10-03 17:00:00";39760
"2023-10-03 17:10:00";40128
"2023-10-03 17:20:00";40259
"2023-10-03 17:30:00";40395
"2023-10-03 17:40:00";40534
"2023-10-03 17:50:00";40702
"2023-10-03 18:00:00";40861
"2023-10-03 18:10:00";40230
"2023-10-03 18:20:00";39777
"2023-10-03 18:30:00";39966
"2023-10-03 18:40:00";39474
"2023-10-03 18:50:00";39969
"2023-10-03 19:00:00";39886
"2023-10-03 19:10:00";39995
"2023-10-03 19:20:00";39807
"2023-10-03 19:30:00";39584
"2023-10-03 19:40:00";39283
"2023-10-03 19:50:00";38950
"2023-10-03 20:00:00";38414
"2023-10-03 20:10:00";37741
"2023-10-03 20:20:00";37391
"2023-10-03 20:30:00";36999
"2023-10-03 20:40:00";36830
"2023-10-03 20:50:00";36651
"2023-10-03 21:00:00";36457
"2023-10-03 21:10:00";36119
"2023-10-03 21:20:00";35657
"2023-10-03 21:30:00";35426
"2023-10-03 21:40:00";35133
"2023-10-03 21:50:00";35102
"2023-10-03 22:00:00";35152
"2023-10-03 22:10:00";34633
"2023-10-03 22:20:00";34196
"2023-10-03 22:30:00";26417
"2023-10-03 22:40:00";32921
"2023-10-03 22:50:00";33265
"2023-10-03 23:00:00";33174
"2023-10-03 23:10:00";32956
"2023-10-03 23:20:00";32848
"2023-10-03 23:30:00";32206
"2023-10-03 23:40:00";31981
"2023-10-03 23:50:00";32089
"2023-10-04 00:00:00";32188
"2023-10-04 00:10:00";31950
"2023-10-04 00:20:00";32447
"2023-10-04 00:30:00";32031
"2023-10-04 00:40:00";31953
"2023-10-04 00:50:00";31748
"2023-10-04 01:00:00";31546
"2023-10-04 01:10:00";31316
"2023-10-04 01:20:00";30598
"2023-10-04 01:30:00";30288
"2023-10-04 01:40:00";30171
"2023-10-04 01:50:00";30554
"2023-10-04 02:00:00";31432
"2023-10-04 02:10:00";31053
"2023-10-04 02:20:00";30493
"2023-10-04 02:30:00";30294
"2023-10-04 02:40:00";30121
"2023-10-04 02:50:00";29474
"2023-10-04 03:00:00";30230
"2023-10-04 03:10:00";30276
"2023-10-04 03:20:00";29588
"2023-10-04 03:30:00";29018
"2023-10-04 03:40:00";28578
"2023-10-04 03:50:00";27996
"2023-10-04 04:00:00";27722
"2023-10-04 04:10:00";27016
"2023-10-04 04:20:00";26151
"2023-10-04 04:30:00";25942
"2023-10-04 04:40:00";25288
"2023-10-04 04:50:00";24904
"2023-10-04 05:00:00";24315
"2023-10-04 05:10:00";23303
"2023-10-04 05:20:00";22847
"2023-10-04 05:30:00";22471
"2023-10-04 05:40:00";21722
"2023-10-04 05:50:00";21443
"2023-10-04 06:00:00";21592
"2023-10-04 06:10:00";20586
"2023-10-04 06:20:00";19435
"2023-10-04 06:30:00";18995
"2023-10-04 06:40:00";17803
"2023-10-04 06:50:00";15783
"2023-10-04 07:00:00";13178
"2023-10-04 07:10:00";8902
"2023-10-04 07:20:00";3438
"2023-10-04 07:30:00";2723
"2023-10-04 07:40:00";2413
"2023-10-04 07:50:00";2257
"2023-10-04 08:00:00";2194
"2023-10-04 08:10:00";2113
"2023-10-04 08:20:00";2025
"2023-10-04 08:30:00";2012
"2023-10-04 08:40:00";2002
"2023-10-04 08:50:00";1979
"2023-10-04 09:00:00";1952
"2023-10-04 09:10:00";1929
"2023-10-04 09:20:00";1973
"2023-10-04 09:30:00";1837
"2023-10-04 09:40:00";1942
"2023-10-04 09:50:00";2220
"2023-10-04 10:00:00";2909
"2023-10-04 10:10:00";3430
"2023-10-04 10:20:00";3587
"2023-10-04 10:30:00";5574
"2023-10-04 10:40:00";11284
"2023-10-04 10:50:00";15026
"2023-10-04 11:00:00";18654
"2023-10-04 11:10:00";21132
"2023-10-04 11:20:00";22582
"2023-10-04 11:30:00";24067
"2023-10-04 11:40:00";25415
"2023-10-04 11:50:00";26981
"2023-10-04 12:00:00";28213
"2023-10-04 12:10:00";29098
"2023-10-04 12:20:00";30047
"2023-10-04 12:30:00";31130
"2023-10-04 12:40:00";32348
"2023-10-04 12:50:00";33289
"2023-10-04 13:00:00";34149
"2023-10-04 13:10:00";34856
"2023-10-04 13:20:00";35512
"2023-10-04 13:30:00";36209
"2023-10-04 13:40:00";37057
"2023-10-04 13:50:00";37929
"2023-10-04 14:00:00";39204
"2023-10-04 14:10:00";40657
"2023-10-04 14:20:00";41124
"2023-10-04 14:30:00";41896
"2023-10-04 14:40:00";42398
"2023-10-04 14:50:00";43352
"2023-10-04 15:00:00";43795
"2023-10-04 15:10:00";44548
"2023-10-04 15:20:00";46011
"2023-10-04 15:30:00";46419
"2023-10-04 15:40:00";47386
"2023-10-04 15:50:00";47853
"2023-10-04 16:00:00";48412
"2023-10-04 16:10:00";48456
"2023-10-04 16:20:00";48802
"2023-10-04 16:30:00";49548
"2023-10-04 16:40:00";49779
"2023-10-04 16:50:00";50128
"2023-10-04 17:00:00";50046
"2023-10-04 17:10:00";50845
"2023-10-04 17:20:00";51651
"2023-10-04 17:30:00";52337
"2023-10-04 17:40:00";52612
"2023-10-04 17:50:00";52811
"2023-10-04 18:00:00";53225
"2023-10-04 18:10:00";53118
"2023-10-04 18:20:00";52910
"2023-10-04 18:30:00";52828
"2023-10-04 18:40:00";52819
"2023-10-04 18:50:00";52913
"2023-10-04 19:00:00";52809
"2023-10-04 19:10:00";52851
"2023-10-04 19:20:00";52141
"2023-10-04 19:30:00";51783
"2023-10-04 19:40:00";51820
"2023-10-04 19:50:00";51719
"2023-10-04 20:00:00";51676
"2023-10-04 20:10:00";51012
"2023-10-04 20:20:00";50418
"2023-10-04 20:30:00";49948
"2023-10-04 20:40:00";50127
"2023-10-04 20:50:00";49839
"2023-10-04 21:00:00";49093
"2023-10-04 21:10:00";49062
"2023-10-04 21:20:00";48534
"2023-10-04 21:30:00";48138
"2023-10-04 21:40:00";47687
"2023-10-04 21:50:00";47215
"2023-10-04 22:00:00";46862
"2023-10-04 22:10:00";46054
"2023-10-04 22:20:00";45569
"2023-10-04 22:30:00";45059
"2023-10-04 22:40:00";44781
"2023-10-04 22:50:00";44379
"2023-10-04 23:00:00";44110
"2023-10-04 23:10:00";43731
"2023-10-04 23:20:00";43250
"2023-10-04 23:30:00";42910
"2023-10-04 23:40:00";42701
"2023-10-04 23:50:00";42719
"2023-10-05 00:00:00";42804
"2023-10-05 00:10:00";42565
"2023-10-05 00:20:00";42245
"2023-10-05 00:30:00";42242
"2023-10-05 00:40:00";42226
"2023-10-05 00:50:00";42164
"2023-10-05 01:00:00";42321
"2023-10-05 01:10:00";41698
"2023-10-05 01:20:00";41558
"2023-10-05 01:30:00";41877
"2023-10-05 01:40:00";42753
"2023-10-05 01:50:00";42782
"2023-10-05 02:00:00";42929
"2023-10-05 02:10:00";42618
"2023-10-05 02:20:00";42269
"2023-10-05 02:30:00";42086
"2023-10-05 02:40:00";41698
"2023-10-05 02:50:00";41419
"2023-10-05 03:00:00";41192
"2023-10-05 03:10:00";40749
"2023-10-05 03:20:00";40358
"2023-10-05 03:30:00";40126
"2023-10-05 03:40:00";40050
"2023-10-05 03:50:00";39857
"2023-10-05 04:00:00";39630
"2023-10-05 04:10:00";38886
"2023-10-05 04:20:00";38391
"2023-10-05 04:30:00";37693
"2023-10-05 04:40:00";37101
"2023-10-05 04:50:00";36667
"2023-10-05 05:00:00";36215
"2023-10-05 05:10:00";35466
"2023-10-05 05:20:00";35336
"2023-10-05 05:30:00";35133
"2023-10-05 05:40:00";34145
"2023-10-05 05:50:00";34239
"2023-10-05 06:00:00";34053
"2023-10-05 06:10:00";33608
"2023-10-05 06:20:00";33316
"2023-10-05 06:30:00";33208
"2023-10-05 06:40:00";33162
"2023-10-05 06:50:00";33179
"2023-10-05 07:00:00";32395
"2023-10-05 07:10:00";31902
"2023-10-05 07:20:00";31413
"2023-10-05 07:30:00";31146
"2023-10-05 07:40:00";31037
"2023-10-05 07:50:00";30988
"2023-10-05 08:00:00";30997
"2023-10-05 08:10:00";30957
"2023-10-05 08:20:00";30763
"2023-10-05 08:30:00";30616
"2023-10-05 08:40:00";30725
"2023-10-05 08:50:00";30873
"2023-10-05 09:00:00";31268
"2023-10-05 09:10:00";31616
"2023-10-05 09:20:00";31689
"2023-10-05 09:30:00";31948
"2023-10-05 09:40:00";32120
"2023-10-05 09:50:00";32414
"2023-10-05 10:00:00";33186
"2023-10-05 10:10:00";33795
"2023-10-05 10:20:00";34121
"2023-10-05 10:30:00";34581
"2023-10-05 10:40:00";35292
"2023-10-05 10:50:00";35811
"2023-10-05 11:00:00";36248
"2023-10-05 11:10:00";36487
"2023-10-05 11:20:00";36832
"2023-10-05 11:30:00";37115
"2023-10-05 11:40:00";37373
"2023-10-05 11:50:00";37567
"2023-10-05 12:00:00";37683
"2023-10-05 12:10:00";37736
"2023-10-05 12:20:00";37880
"2023-10-05 12:30:00";38355
"2023-10-05 12:40:00";38589
"2023-10-05 12:50:00";39680
"2023-10-05 13:00:00";40273
"2023-10-05 13:10:00";40318
"2023-10-05 13:20:00";40898
"2023-10-05 13:30:00";41328
"2023-10-05 13:40:00";41462
"2023-10-05 13:50:00";42035
"2023-10-05 14:00:00";42716
"2023-10-05 14:10:00";42950
"2023-10-05 14:20:00";43503
"2023-10-05 14:30:00";43745
"2023-10-05 14:40:00";44591
"2023-10-05 14:50:00";45005
"2023-10-05 15:00:00";45640
"2023-10-05 15:10:00";45823
"2023-10-05 15:20:00";46330
"2023-10-05 15:30:00";46432
"2023-10-05 15:40:00";46603
"2023-10-05 15:50:00";46790
"2023-10-05 16:00:00";46975
"2023-10-05 16:10:00";46723
"2023-10-05 16:20:00";47060
"2023-10-05 16:30:00";47419
"2023-10-05 16:40:00";47654
"2023-10-05 16:50:00";47584
"2023-10-05 17:00:00";48200
"2023-10-05 17:10:00";48684
"2023-10-05 17:20:00";49366
"2023-10-05 17:30:00";50496
"2023-10-05 17:40:00";50939
"2023-10-05 17:50:00";51100
"2023-10-05 18:00:00";51505
"2023-10-05 18:10:00";51521
"2023-10-05 18:20:00";50949
"2023-10-05 18:30:00";50921
"2023-10-05 18:40:00";50982
"2023-10-05 18:50:00";50955
"2023-10-05 19:00:00";51032
"2023-10-05 19:10:00";51052
"2023-10-05 19:20:00";50578
"2023-10-05 19:30:00";50189
"2023-10-05 19:40:00";49910
"2023-10-05 19:50:00";50036
"2023-10-05 20:00:00";50405
"2023-10-05 20:10:00";50009
"2023-10-05 20:20:00";49539
"2023-10-05 20:30:00";49066
"2023-10-05 20:40:00";48673
"2023-10-05 20:50:00";48361
"2023-10-05 21:00:00";48292
"2023-10-05 21:10:00";47927
"2023-10-05 21:20:00";47232
"2023-10-05 21:30:00";46215
"2023-10-05 21:40:00";46804
"2023-10-05 21:50:00";46708
"2023-10-05 22:00:00";46567
"2023-10-05 22:10:00";45856
"2023-10-05 22:20:00";43446
"2023-10-05 22:30:00";44159
"2023-10-05 22:40:00";44068
"2023-10-05 22:50:00";43600
"2023-10-05 23:00:00";43321
"2023-10-05 23:10:00";42994
"2023-10-05 23:20:00";42477
"2023-10-05 23:30:00";42123
"2023-10-05 23:40:00";42097
"2023-10-05 23:50:00";41855
"2023-10-06 00:00:00";42003
"2023-10-06 00:10:00";41728
"2023-10-06 00:20:00";41472
"2023-10-06 00:30:00";41532
"2023-10-06 00:40:00";41605
"2023-10-06 00:50:00";41626
"2023-10-06 01:00:00";41692
"2023-10-06 01:10:00";41796
"2023-10-06 01:20:00";41567
"2023-10-06 01:30:00";41589
"2023-10-06 01:40:00";41413
"2023-10-06 01:50:00";41140
"2023-10-06 02:00:00";41306
"2023-10-06 02:10:00";41071
"2023-10-06 02:20:00";41012
"2023-10-06 02:30:00";41616
"2023-10-06 02:40:00";41473
"2023-10-06 02:50:00";40475
"2023-10-06 03:00:00";39981
"2023-10-06 03:10:00";39898
"2023-10-06 03:20:00";39523
"2023-10-06 03:30:00";38992
"2023-10-06 03:40:00";38521
"2023-10-06 03:50:00";38098
"2023-10-06 04:00:00";37763
"2023-10-06 04:10:00";36958
"2023-10-06 04:20:00";36285
"2023-10-06 04:30:00";35842
"2023-10-06 04:40:00";35546
"2023-10-06 04:50:00";35173
"2023-10-06 05:00:00";34928
"2023-10-06 05:10:00";34560
"2023-10-06 05:20:00";34058
"2023-10-06 05:30:00";33832
"2023-10-06 05:40:00";33432
"2023-10-06 05:50:00";33075
"2023-10-06 06:00:00";32933
"2023-10-06 06:10:00";33002
"2023-10-06 06:20:00";32891
"2023-10-06 06:30:00";32114
"2023-10-06 06:40:00";31412
"2023-10-06 06:50:00";30890
"2023-10-06 07:00:00";30896
"2023-10-06 07:10:00";29967
"2023-10-06 07:20:00";29958
"2023-10-06 07:30:00";29833
"2023-10-06 07:40:00";29500
"2023-10-06 07:50:00";29347
"2023-10-06 08:00:00";29418
"2023-10-06 08:10:00";29737
"2023-10-06 08:20:00";29597
"2023-10-06 08:30:00";29454
"2023-10-06 08:40:00";29473
"2023-10-06 08:50:00";29452
"2023-10-06 09:00:00";30070
"2023-10-06 09:10:00";30705
"2023-10-06 09:20:00";31260
"2023-10-06 09:30:00";31376
"2023-10-06 09:40:00";31094
"2023-10-06 09:50:00";31712
"2023-10-06 10:00:00";32361
"2023-10-06 10:10:00";32679
"2023-10-06 10:20:00";32099
"2023-10-06 10:30:00";32653
"2023-10-06 10:40:00";33738
"2023-10-06 10:50:00";34538
"2023-10-06 11:00:00";34806
"2023-10-06 11:10:00";34645
"2023-10-06 11:20:00";35117
"2023-10-06 11:30:00";35572
"2023-10-06 11:40:00";35918
"2023-10-06 11:50:00";36336
"2023-10-06 12:00:00";36595
"2023-10-06 12:10:00";36414
"2023-10-06 12:20:00";36739
"2023-10-06 12:30:00";37148
"2023-10-06 12:40:00";37722
"2023-10-06 12:50:00";37801
"2023-10-06 13:00:00";38455
"2023-10-06 13:10:00";38658
"2023-10-06 13:20:00";39093
"2023-10-06 13:30:00";39847
"2023-10-06 13:40:00";40493
"2023-10-06 13:50:00";40928
"2023-10-06 14:00:00";41538
"2023-10-06 14:10:00";41202
"2023-10-06 14:20:00";41401
"2023-10-06 14:30:00";42645
"2023-10-06 14:40:00";42916
"2023-10-06 14:50:00";43418
"2023-10-06 15:00:00";43843
"2023-10-06 15:10:00";43959
"2023-10-06 15:20:00";44719
"2023-10-06 15:30:00";45694
"2023-10-06 15:40:00";45553
"2023-10-06 15:50:00";46380
"2023-10-06 16:00:00";46602
"2023-10-06 16:10:00";45899
"2023-10-06 16:20:00";45268
"2023-10-06 16:30:00";46083
"2023-10-06 16:40:00";46289
"2023-10-06 16:50:00";46237
"2023-10-06 17:00:00";47012
"2023-10-06 17:10:00";47403
"2023-10-06 17:20:00";47511
"2023-10-06 17:30:00";48003
"2023-10-06 17:40:00";48403
"2023-10-06 17:50:00";48305
"2023-10-06 18:00:00";48545
"2023-10-06 18:10:00";48544
"2023-10-06 18:20:00";48137
"2023-10-06 18:30:00";48267
"2023-10-06 18:40:00";48450
"2023-10-06 18:50:00";47886
"2023-10-06 19:00:00";48520
"2023-10-06 19:10:00";48469
"2023-10-06 19:20:00";48492
"2023-10-06 19:30:00";48661
"2023-10-06 19:40:00";48007
"2023-10-06 19:50:00";47932
"2023-10-06 20:00:00";48487
"2023-10-06 20:10:00";48258
"2023-10-06 20:20:00";47666
"2023-10-06 20:30:00";47384
"2023-10-06 20:40:00";47171
"2023-10-06 20:50:00";47611
"2023-10-06 21:00:00";47475
"2023-10-06 21:10:00";46970
"2023-10-06 21:20:00";46792
"2023-10-06 21:30:00";46285
"2023-10-06 21:40:00";46020
"2023-10-06 21:50:00";45669
"2023-10-06 22:00:00";45665
"2023-10-06 22:10:00";45297
"2023-10-06 22:20:00";44655
"2023-10-06 22:30:00";44195
"2023-10-06 22:40:00";43640
"2023-10-06 22:50:00";43297
"2023-10-06 23:00:00";43070
"2023-10-06 23:10:00";42766
"2023-10-06 23:20:00";42236
"2023-10-06 23:30:00";41822
"2023-10-06 23:40:00";41497
"2023-10-06 23:50:00";41168
"2023-10-07 00:00:00";41149
"2023-10-07 00:10:00";40633
"2023-10-07 00:20:00";40492
"2023-10-07 00:30:00";39955
"2023-10-07 00:40:00";39863
"2023-10-07 00:50:00";40007
"2023-10-07 01:00:00";39663
"2023-10-07 01:10:00";39624
"2023-10-07 01:20:00";39644
"2023-10-07 01:30:00";39669
"2023-10-07 01:40:00";39939
"2023-10-07 01:50:00";40011
"2023-10-07 02:00:00";39920
"2023-10-07 02:10:00";39568
"2023-10-07 02:20:00";39117
"2023-10-07 02:30:00";38890
"2023-10-07 02:40:00";38694
"2023-10-07 02:50:00";38510
"2023-10-07 03:00:00";37994
"2023-10-07 03:10:00";37784
"2023-10-07 03:20:00";37397
"2023-10-07 03:30:00";37264
"2023-10-07 03:40:00";37287
"2023-10-07 03:50:00";37175
"2023-10-07 04:00:00";37182
"2023-10-07 04:10:00";36761
"2023-10-07 04:20:00";36604
"2023-10-07 04:30:00";36423
"2023-10-07 04:40:00";36178
"2023-10-07 04:50:00";35484
"2023-10-07 05:00:00";35227
"2023-10-07 05:10:00";34565
"2023-10-07 05:20:00";33969
"2023-10-07 05:30:00";33813
"2023-10-07 05:40:00";33593
"2023-10-07 05:50:00";33382
"2023-10-07 06:00:00";33338
"2023-10-07 06:10:00";32463
"2023-10-07 06:20:00";32426
"2023-10-07 06:30:00";32148
"2023-10-07 06:40:00";31909
"2023-10-07 06:50:00";31234
"2023-10-07 07:00:00";30936
"2023-10-07 07:10:00";30580
"2023-10-07 07:20:00";30387
"2023-10-07 07:30:00";29450
"2023-10-07 07:40:00";29626
"2023-10-07 07:50:00";30100
"2023-10-07 08:00:00";30244
"2023-10-07 08:10:00";29977
"2023-10-07 08:20:00";29589
"2023-10-07 08:30:00";29709
"2023-10-07 08:40:00";30329
"2023-10-07 08:50:00";30688
"2023-10-07 09:00:00";30542
"2023-10-07 09:10:00";31358
"2023-10-07 09:20:00";31942
"2023-10-07 09:30:00";32285
"2023-10-07 09:40:00";32529
"2023-10-07 09:50:00";33429
"2023-10-07 10:00:00";34004
"2023-10-07 10:10:00";34404
"2023-10-07 10:20:00";35618
"2023-10-07 10:30:00";36279
"2023-10-07 10:40:00";36801
"2023-10-07 10:50:00";38299
"2023-10-07 11:00:00";38745
"2023-10-07 11:10:00";38774
"2023-10-07 11:20:00";39201
"2023-10-07 11:30:00";39472
"2023-10-07 11:40:00";39558
"2023-10-07 11:50:00";40634
"2023-10-07 12:00:00";41017
"2023-10-07 12:10:00";41075
"2023-10-07 12:20:00";42120
"2023-10-07 12:30:00";42644
"2023-10-07 12:40:00";42821
"2023-10-07 12:50:00";43552
"2023-10-07 13:00:00";43461
"2023-10-07 13:10:00";43675
"2023-10-07 13:20:00";43732
"2023-10-07 13:30:00";43821
"2023-10-07 13:40:00";43966
"2023-10-07 13:50:00";44151
"2023-10-07 14:00:00";44595
"2023-10-07 14:10:00";44687
"2023-10-07 14:20:00";45076
"2023-10-07 14:30:00";46045
"2023-10-07 14:40:00";46446
"2023-10-07 14:50:00";46979
"2023-10-07 15:00:00";47429
"2023-10-07 15:10:00";47285
"2023-10-07 15:20:00";47176
"2023-10-07 15:30:00";47464
"2023-10-07 15:40:00";48272
"2023-10-07 15:50:00";48721
"2023-10-07 16:00:00";48841
"2023-10-07 16:10:00";48677
"2023-10-07 16:20:00";48770
"2023-10-07 16:30:00";48841
"2023-10-07 16:40:00";49053
"2023-10-07 16:50:00";49550
"2023-10-07 17:00:00";50176
"2023-10-07 17:10:00";50422
"2023-10-07 17:20:00";50403
"2023-10-07 17:30:00";50103
"2023-10-07 17:40:00";49891
"2023-10-07 17:50:00";49824
"2023-10-07 18:00:00";50382
"2023-10-07 18:10:00";50149
"2023-10-07 18:20:00";50283
"2023-10-07 18:30:00";50346
"2023-10-07 18:40:00";50929
"2023-10-07 18:50:00";51003
"2023-10-07 19:00:00";51135
"2023-10-07 19:10:00";50854
"2023-10-07 19:20:00";50518
"2023-10-07 19:30:00";50372
"2023-10-07 19:40:00";50337
"2023-10-07 19:50:00";50184
"2023-10-07 20:00:00";50361
"2023-10-07 20:10:00";50020
"2023-10-07 20:20:00";49514
"2023-10-07 20:30:00";49178
"2023-10-07 20:40:00";48813
"2023-10-07 20:50:00";48404
"2023-10-07 21:00:00";48302
"2023-10-07 21:10:00";47823
"2023-10-07 21:20:00";47586
"2023-10-07 21:30:00";47073
"2023-10-07 21:40:00";46540
"2023-10-07 21:50:00";46073
"2023-10-07 22:00:00";45983
"2023-10-07 22:10:00";45262
"2023-10-07 22:20:00";44549
"2023-10-07 22:30:00";44100
"2023-10-07 22:40:00";43463
"2023-10-07 22:50:00";42899
"2023-10-07 23:00:00";42589
"2023-10-07 23:10:00";42080
"2023-10-07 23:20:00";41377
"2023-10-07 23:30:00";41297
"2023-10-07 23:40:00";41029
"2023-10-07 23:50:00";40697
"2023-10-08 00:00:00";40611
"2023-10-08 00:10:00";40140
"2023-10-08 00:20:00";39596
"2023-10-08 00:30:00";39371
"2023-10-08 00:40:00";39029
"2023-10-08 00:50:00";38682
"2023-10-08 01:00:00";38657
"2023-10-08 01:10:00";38688
"2023-10-08 01:20:00";38896
"2023-10-08 01:30:00";38861
"2023-10-08 01:40:00";38822
"2023-10-08 01:50:00";39234
"2023-10-08 02:00:00";39554
"2023-10-08 02:10:00";39401
"2023-10-08 02:20:00";39797
"2023-10-08 02:30:00";39943
"2023-10-08 02:40:00";39995
"2023-10-08 02:50:00";39321
"2023-10-08 03:00:00";39480
"2023-10-08 03:10:00";39535
"2023-10-08 03:20:00";39062
"2023-10-08 03:30:00";38971
"2023-10-08 03:40:00";38708
"2023-10-08 03:50:00";38227
"2023-10-08 04:00:00";38400
"2023-10-08 04:10:00";38001
"2023-10-08 04:20:00";37374
"2023-10-08 04:30:00";36987
"2023-10-08 04:40:00";36657
"2023-10-08 04:50:00";36324
"2023-10-08 05:00:00";36036
"2023-10-08 05:10:00";35799
"2023-10-08 05:20:00";35366
"2023-10-08 05:30:00";35127
"2023-10-08 05:40:00";35037
